number,name,contact,website_link,latitude,longitude,address,ownership,type_of_hospital,specialized_hospital,medical_college,avaleabale_bed,cost_ratings,service_ratings,icu_iccu,nicu,online_survice,emergency_suppory,ambulence_support,basic_ambulence,motorcycle-ambulance,neonatology_ambulence,life_support_ambulance,advanced_life_support_ambulance,source
1,Bangabandhu Sheikh Mujib Medical College,01866-637482,bsmmu.ac.bd,23.73841,90.3954,Shahbag0 Dhaka,Government hospital,Medical college hospital,all,1,1900,2,3,1,1,0,1,1,1,1,1,1,1,bd-info.com/dhaka-hospital-list
2,Doctors Point,,,23.76014,90.4402,Doctors Point TAS 7304 Australia,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
3,Supply Chain Management Department Asgar Ali Hospital,,,23.70832,90.4229,PC5F+65C,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
4,Lab One Research Institute of Haematology & Hospital,,http://www.lorihh.labone.org.bd/,23.87131,90.3902,165-166 Paril Green Apartment Green Rd,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
5,National Institute of Mental Health and Hospital,,https://nimh.gov.bd/,23.77258,90.3682,Q9C9+X74,Government hospital,Hospital,all,0,,,4.3,,,,,,,,,,,
6,Lab Aid Limited,,,23.76484,90.3648,50 Royalt Castle Rd Accra Ghana,Private hospital,Diagnostic,all,0,,,,,,,,,,,,,,
7,TAKE CARE HOSPITAL & DIGITAL DIAGNOSTIC CENTER,,,23.77612,90.3647,No 4 Church Rd Paneer Nagar Mogappair East Chennai Tamil Nadu 600037 India,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
8,Royal Multispeciality Hospital Unit-2,,,23.77041,90.3663,Sundaraiah Bhavan Rd Brundavan Nagar Pandaripuram Ongole Andhra Pradesh 523002 India,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
9,Habib Hospital,,,23.82439,90.3654,Plot No. 345 345/1 & 238 AH Wadia Marg Old Agra Road Off Lal Bahadur Shastri Rd opp. Shalimar Hotel Friends Colony Kurla West Kurla Mumbai Maharashtra 400070 India,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
10,Al Mutmainnah Maa O shishu Hospital,,,23.74286,90.4166,Agrabad Commercial Area Chattogram 4100 Bangladesh,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
11,Sheba Diagnostic Center,,,23.77451,90.3647,9R6H+35J O.R. Nizam Rd Chittagong Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
12,HUMAN DIAGNOSTIC & MEDICAL CENTRE,,,23.73251,90.4139,1002 CDA Ave Chittagong 4000 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
13,REMEDY DIAGNOSTIC CENTRE & GENERAL HOSPITAL,,,23.77798,90.3686,Tribeni Apartment Garia Main Rd opposite Sitala Mandir Purbapara Kamdahari Kolkata West Bengal 700084 India,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
14,Homeopathic Charitable Hospital,,https://www.facebook.com/Homoeopathic-Charitable-Hospital-456289795151959/,23.808,90.383,Section 14,Private hospital,Hospital,all,0,,,5,,,,,,,,,,,
15,Shurakkha General Hospital & Institute Of Medical Science,,,23.83004,90.3566,368 Sher-E-Bangla Rd Khulna Bangladesh,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
16,Green Lab Diagnostic Centre,,,23.72034,90.3882,R9XR+M2Q ???????? Bazar Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
17,Al Razi Hospital Pvt. Ltd.,,,23.76548,90.4397,House No. 459 2 Hospital Rd Maijdi 3800 Bangladesh,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
18,Rx Medical Center,,,23.7921,90.4146,CWN(B)6 Rd 36,Private hospital,Clinic,all,0,,,4.3,,,,,,,,,,,
19,SRS Clinic,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.55957,90.5203,QCJH+8M5 Adarsh Nagar Rd,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
20,Cancers Clinic,,http://www.cancersclinic.com/,23.55957,90.5203,House # 12 & 13 Rd 22 Block#K,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
21,Pushpo Clinic,,http://www.pushpomedicalbd.com/,23.55957,90.5203,H/101 Kakoli Dhaka - Mymensingh Hwy Mymensingh Hwy Dhaka 1212,Private hospital,Clinic,all,0,,,2.8,,,,,,,,,,,
22,shosti clinic,,http://www.eminence-bd.org/,23.55957,90.5203,10 Road No. 03,Private hospital,Clinic,all,0,,,4,,,,,,,,,,,
23,New Popular Medical Services,,_,23.60499,90.457,Narayangan JF34+XQX ??????? Bangladesh,Private hospital,Diagnostic,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
24,Bashundhara Ad-din Medical College Hospital,1800 1020 320,www.rmcedu.com/bashundhara-ad-din-medical-college.html,23.66865,90.4259,MCCH+7HF Bashundhara Riverview Bangladesh,Private hospital,Medical college hospital,all,1,500,3,4.2,1,1,1,1,1,1,1,1,1,1,www.rmcedu.com/bashundhara-ad-din-medical-college.html
25,Gulshan Health Care Center,,,23.66965,90.4592,Sheba House Plot 34 Road: 46,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
26,Cure Health Center,,,23.66965,90.4592,House 1 Road 17,Private hospital,Clinic,all,0,,,4,,,,,,,,,,,
27,Ruhitpur general hospital (pvt). Ltd.,_,facebook.com/profile.php?id=685922348121113,23.67371,90.3137,Ruhitpur Bangladesh,Private hospital,Hospital,all,0,,3,3,0,0,0,0,1,1,1,0,0,0,
28,Bangladesh Premium Hospital Ltd.,01730-599266,_,23.68499,90.3563,P8PQ+7MX Laboni Point Basilla Road Ghatarchar Rd Dhaka,Private hospital,Hospital,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
29,Dr Lal Pathlabs Bangladesh Private Limited,01885-998000,_,23.68499,90.3563,QCJF+6CF Bir Uttam AK Khandakar Rd Dhaka 1212,Private hospital,Diagnostic,all,0,,_,3,0,0,0,0,1,1,1,0,0,0,
30,Bangladesh Molecular Laboratory,,_,23.68499,90.3563,Bangladesh,Private hospital,Diagnostic,all,0,,_,_,0,0,0,0,1,1,1,0,0,0,
31,Bangladesh Assisted Conception Centre (BACC) Women’s,,,23.68499,90.3563,Bangladesh,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
32,icddrb OST Centre Jatrabari Dhaka,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.68846,90.4285,PC6M+6XW Dholpur Madrasar Goli New Road,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
33,Siamak Pet Clinic,,,23.692,90.4419,House-56 Road-9/B,Private hospital,Clinic,all,0,,,4.1,,,,,,,,,,,
34,Doctors' General Hospital,,https://ssl.gstatic.com/local/servicebusiness/default_user.png,23.69213,90.4327,31-32 Dhaka - Mawa Hwy,Government hospital,Hospital,all,0,,,4.3,,,,,,,,,,,
35,RASEL PHARMACY,,,23.69248,90.4449,QCG3+GRH,Private hospital,Clinic,all,0,,,,,,,,,,,,,,
36,Cure Consultation & Diagnostic,,_,23.69398,90.4767,Middle Point of Saddam Market and Signboard MFVG+HMV N1 Dhaka 1361 Bangladesh,Private hospital,Diagnostic,Diagnostic,0,,_,_,0,0,0,0,1,1,1,0,0,0,
37,Ad-din Barrister Rafique-ul Huq Hospital,01713-488425,ad-din.org,23.69477,90.4329,23/1 Balurmath postogola Baru miya's road ???? 1204 Bangladesh,Private hospital,Hospital,all,0,,3.2,4,0,0,0,0,1,1,1,0,0,0,ad-din.org
38,Medica Diagnostic & Hospital Management Software,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.69794,90.5093,QCV4+GV6 Kemal Ataturk Ave,Private hospital,Diagnostic,Diagnostic,0,,,5,,,,,,,,,,,
39,Ashiya general Hospital,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,23.69833,90.4548,School Building-3 C O Rd,Private hospital,Hospital,all,0,,,,,,,,,,,,,,
40,Delta Health Care Jatrabari Limited,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,23.6989,90.4359,MCXM+QJJ Building B 169/1,Private hospital,Clinic,all,0,,,3.5,,,,,,,,,,,
41,Physiotherapy & Rehabilitation Center,,,23.699,90.4358,IPH Rd,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
42,Delta Health Care Jatrabari Ltd.,88022772856,_,23.69913,90.4355,169/1 MCXM+QJJ Building B Dhaka 1204 Bangladesh,Private hospital,Diagnostic,all,0,,3,3.2,0,0,0,0,1,1,1,0,0,0,
43,Dr. Sharif's Homeopathic Center,,,23.69923,90.4944,House # 19 (Ground Floor Rd -19,Private hospital,Clinic,all,0,,,5,,,,,,,,,,,
44,Holy care diagnostic center,,,23.69979,90.4915,VCH4+RQ8,Private hospital,Diagnostic,Diagnostic,0,,,,,,,,,,,,,,
